geomod,brine,steady,path_h,path_a
Half_Open,Top,Paleo,,
Half_Open,Top,Steady,,
Half_Open,Bot,Paleo,,
Half_Open,Bot,Steady,,
Open,Top,Paleo,,
Open,Top,Steady,,
Homgn,Top,Paleo,,
Homgn,Top,Steady,,
Closed,Bot,Paleo,,
Closed,Bot,Steady,,
Closed_noCL,Bot,Paleo,,
Closed_noCL,Bot,Steady,,
Closed_noCL,Top,Paleo,,
Closed_noCL,Top,Steady,,
Closed_condCL,Bot,Paleo,,
Closed_condCL,Bot,Steady,,
Half_Open_noCL,Top,Paleo,,
Half_Open_noCL,Top,Steady,,
Half_Open_noCL,Bot,Paleo,,
Half_Open_noCL,Bot,Steady,,
Half_Open_condCL,Top,Paleo,,
Half_Open_condCL,Top,Steady,,
Half_Open_condCL,Bot,Paleo,,
Half_Open_condCL,Bot,Steady,,
Open_condCL,Top,Paleo,,
Open_condCL,Top,Steady,,
